100	150	75	260	0
104	146	75	260	0
108	142	75	260	0
112	138	75	260	0
116	134	75	260	0
120	130	75	260	0
124	126	75	260	0
128	122	75	260	0
132	118	75	260	0
136	114	75	260	0
140	110	75	260	0
144	106	75	260	0
148	102	75	260	0
152	98	75	260	0
156	94	75	260	0
160	90	75	260	0
164	86	75	260	0
168	82	75	260	0
172	78	75	260	0
176	74	75	260	0
180	70	75	260	0
184	66	75	260	0
188	62	75	260	0
184	58	75	260	0
180	54	75	260	0
176	50	75	260	0
172	46	75	260	0
168	42	75	260	0
164	38	75	260	0
160	34	75	260	0
156	30	75	260	0
152	26	75	260	0
148	22	75	260	0
144	18	75	260	0
140	14	75	260	0
136	10	75	260	0
132	6	75	260	0
128	2	75	260	0
124	-2	75	260	0
120	2	75	260	0
116	6	75	260	0
112	10	75	260	0
108	14	75	260	0
104	18	75	260	0
100	22	75	260	0
96	26	68	260	-1
92	30	61	260	-1
88	34	54	260	-1
84	38	47	260	-1
80	42	40	260	-1
76	46	33	260	-1
72	50	26	260	-1
68	54	19	260	-1
64	58	12	260	-1
60	62	12	260	0
56	66	12	260	0
52	70	12	260	0
48	74	12	260	0
44	78	12	260	0
40	82	12	260	0
36	86	12	260	0
32	90	12	260	0
28	94	12	260	0
24	98	19	260	1
20	102	26	260	1
16	106	33	260	1
12	110	40	260	1
8	114	47	260	1
4	118	54	260	1
0	122	61	260	1
4	126	61	260	0
8	130	61	260	0
12	134	61	260	0
16	138	61	260	0
20	142	61	260	0
24	146	61	260	0
28	150	61	260	0
32	154	61	260	0
36	158	61	260	0
40	162	61	260	0
44	166	61	260	0
48	170	61	260	0
52	174	61	260	0
56	178	61	260	0
60	182	61	260	0
64	186	61	260	0
68	190	61	260	0
72	194	68	260	1
76	198	75	260	1
80	202	82	260	1
84	206	89	260	1
88	210	96	260	1
92	214	103	260	1
96	218	103	260	0
100	222	103	260	0
104	226	103	260	0
108	230	103	260	0
112	234	103	260	0
116	238	103	260	0
120	242	103	260	0
124	246	103	260	0
128	242	103	260	0
132	238	103	260	0
136	234	103	260	0
140	230	103	260	0
144	226	103	260	0
148	222	103	260	0
152	218	103	260	0
156	214	103	260	0
160	210	103	260	0
164	206	103	260	0
168	202	103	260	0
172	198	103	260	0
176	194	96	260	-1
180	190	89	260	-1
184	186	82	260	-1
188	182	75	260	-1
184	178	68	260	-1
180	174	61	260	-1
176	170	54	260	-1
172	166	47	260	-1
168	162	47	260	0
164	158	47	260	0
160	154	47	260	0
156	150	47	260	0
152	146	47	260	0
148	142	47	260	0
144	138	47	260	0
140	134	47	260	0
136	130	47	260	0
132	126	47	260	0
128	122	47	260	0
124	118	47	260	0
120	114	47	260	0
116	110	47	260	0
112	106	47	260	0
108	102	47	260	0
104	98	47	260	0
100	94	47	260	0
96	90	47	260	0
92	86	47	260	0
88	82	47	260	0
84	78	47	260	0
80	74	47	260	0
76	70	47	260	0
72	66	47	260	0
68	62	47	260	0
64	58	47	260	0
60	54	54	260	1
56	50	61	260	1
52	46	68	260	1
48	42	75	260	1
44	38	82	260	1
40	34	89	260	1
36	30	96	260	1
32	26	103	260	1
28	22	110	260	1
24	18	117	260	1
20	14	117	260	0
16	10	117	260	0
12	6	117	260	0
8	2	117	260	0
4	-2	117	260	0
0	2	117	260	0
4	6	117	260	0
8	10	117	260	0
12	14	117	260	0
16	18	117	260	0
20	22	117	260	0
24	26	117	260	0
28	30	117	260	0
32	34	117	260	0
36	38	117	260	0
40	42	117	260	0
44	46	117	260	0
48	50	124	260	1
52	54	131	260	1
56	58	138	260	1
60	62	145	260	1
64	66	152	260	1
68	70	152	260	1
72	74	152	260	1
76	78	152	260	1
80	82	152	260	1
84	86	152	260	1
88	90	152	260	0
92	94	152	260	0
96	98	152	260	0
100	102	152	260	0
104	106	152	260	0
108	110	152	260	0
112	114	152	260	0
116	118	152	260	0
120	122	152	260	0
124	126	152	260	0
128	130	152	260	0
132	134	152	260	0
136	138	152	260	0
